PCA1,PCA2,TIME,VELOCITY,REPEAT,SIMULATOR
-198.82416964412664,70.71082474588172,32.0,47.0,3,READDY
-114.20881792417919,114.24002118998271,0.00041,150.0,2,CYTOSIM
-881.0822935555111,-106.2750636139508,2.5,15.0,3,READDY
243.99063381090969,47.36721029398393,58.5,4.7,3,READDY
417.51810171665903,32.88463350110612,0.00735,15.0,4,CYTOSIM
-871.7900179988972,-54.37205095232105,0.00111,4.7,4,CYTOSIM
-728.8399948786906,12.85052304793362,5.0,4.7,1,READDY
-347.83112654639496,-162.0424543855721,28.5,150.0,1,READDY
81.58652945845756,119.80305664730497,0.00161,47.0,3,CYTOSIM
461.9891009675254,-25.26966644996594,75.5,4.7,4,READDY
642.7833901282058,32.70293648383165,0.029785,4.7,4,CYTOSIM
294.12955449777786,-59.216904186031115,65.5,150.0,2,READDY
-17.72252580198301,-100.52722054785238,50.0,150.0,2,READDY
274.4011075758859,-179.1336561048904,69.0,150.0,4,READDY
360.23874939868,-174.9580016141207,76.5,150.0,4,READDY
176.115428563757,2.443833052648074,56.0,15.0,0,READDY
333.1617099508392,-177.95050302987624,75.5,150.0,4,READDY
-680.3336187543928,66.92535400802353,0.00013,150.0,4,CYTOSIM
-795.6028159837163,-312.0292828387586,15.0,150.0,2,READDY
-239.902429790183,103.01702527433588,0.00315,15.0,1,CYTOSIM
-79.53542721217121,19.10961331736587,39.0,47.0,0,READDY
683.0266496314266,-186.35912684294203,94.5,150.0,1,READDY
-915.9644813078553,-129.44350283845165,3.5,15.0,2,READDY
417.29271865057495,15.206973743580079,0.00234,47.0,4,CYTOSIM
744.6006416847331,-148.7695035348661,99.0,15.0,4,READDY
-110.62017320089376,70.5167961754388,36.0,15.0,0,READDY
-142.45317421133558,135.95316910396775,0.011725,4.7,0,CYTOSIM
-755.2480829099795,38.69016614884606,0.00206,4.7,3,CYTOSIM
17.287138915250694,142.14430030983397,0.00485,15.0,0,CYTOSIM
-591.9893577282864,-415.98632320493766,34.5,150.0,3,READDY
446.2608354122696,78.59563961320566,0.000765,150.0,4,CYTOSIM
319.0788235733483,83.87736414137783,0.021385,4.7,2,CYTOSIM
490.2495531898649,86.0560288512803,0.000825,150.0,0,CYTOSIM
217.6914109461428,118.95107824296645,0.00605,15.0,1,CYTOSIM
549.5024037075868,-44.93653969216621,83.5,15.0,3,READDY
124.00009639605406,134.57748157316666,0.017425,4.7,3,CYTOSIM
565.7315048474334,-220.36049105768757,86.5,4.7,4,READDY
