,PC1,PC2,TIME,VELOCITY,REPEAT,SIMULATOR,COMPRESSION_RATIO,PEAK_ASYMMETRY,NON_COPLANARITY
6848,-327.9956952343357,152.34858136154307,749.0,150.0,3,READDY,0.2442754857379869,0.0440343928095638,0.0141932531090138
5290,626.8730015074498,400.4154713242366,337.0,150.0,3,READDY,0.1172336459779583,0.1642990504259277,0.0049956900748899
2753,507.7353877728813,-135.91085423658555,0.005575,4.7,4,CYTOSIM,0.0528163609258056,0.0031255713611852,0.0014462962898502
3901,-639.7449798112508,-56.44721453908843,0.028025,4.7,2,CYTOSIM,0.2657684270828805,0.0390530086340997,0.0001948353726156
513,642.0162023576896,-104.80248858146219,0.000335,47.0,4,CYTOSIM,0.0313528813675075,0.0192013182632313,0.000165252692052
2918,-336.3554067778745,-102.44538170893524,0.006835,15.0,4,CYTOSIM,0.2049809839932761,0.0107953226617079,2.2082382566588204e-05
4161,923.8978291190896,27.17418775311891,40.0,47.0,0,READDY,0.0256990387999955,0.1539858734161758,0.0014898928534331
6263,-237.85792428684633,16.160189781757307,598.0,4.7,2,READDY,0.1995614908451685,0.0093604119208767,0.0039022660796492
2429,-697.411240264783,-102.16216441030059,0.00316,47.0,0,CYTOSIM,0.2993519031517742,0.0239023351651552,0.0040412025849883
2730,486.432024453422,-87.3145300108736,0.005415,4.7,1,CYTOSIM,0.051300032886182,0.0139564716570493,2.5671224345809093e-05
4796,891.2238991766224,312.36550723039204,206.0,150.0,3,READDY,0.0779022292730199,0.206963808983248,0.0001057821787074
784,-105.47722591684524,-105.91242926769858,0.000525,150.0,0,CYTOSIM,0.1560341887890685,0.0034981044301379,7.810971939822569e-05
2781,-163.3536499325264,-55.24716670644503,0.00578,15.0,2,CYTOSIM,0.1732566020375674,0.0285676035009829,0.0010423226707049
7427,-658.3885768088566,78.99887686956666,905.0,15.0,3,READDY,0.2914893502644174,0.0079614020772326,0.0063095929742858
7758,-705.7078152035295,210.42088862155737,990.0,150.0,1,READDY,0.3180512600568251,0.010335743710987,0.0159219394168469
420,315.275253471102,-141.7669321594081,0.00027,150.0,1,CYTOSIM,0.0795144238584543,0.0027388882698904,0.0002262187238893
605,865.4453362597598,80.11579750391356,0.0004,15.0,1,CYTOSIM,0.0118650494081696,0.0633827854914107,0.0007810794802428
6139,-175.0923370730565,25.30797376478307,563.0,47.0,2,READDY,0.1890680168733737,0.0067202879466498,0.0052865168637228
4224,935.8976188525183,175.36250577532232,55.0,150.0,1,READDY,0.0292138762498457,0.0542255127637166,0.0040556857469721
5481,420.3463124961449,308.5961729020205,387.0,150.0,4,READDY,0.1318380087478162,0.1564271802312629,0.0033662317689291
7297,-598.5973669364394,114.96774609333747,869.0,47.0,1,READDY,0.2833180232220156,0.0176338983515514,0.0074428855467288
276,844.7248646144113,62.61435986110371,0.00017,150.0,2,CYTOSIM,0.0495032158503677,0.1700909140016819,2.119295549395218e-05
6117,-189.93913817037253,-40.03745817929274,558.0,15.0,4,READDY,0.1859704780483322,0.0187940786393898,0.0011499417847487
1731,808.07357332461,-55.0760505399968,0.00159,4.7,2,CYTOSIM,0.0150784948934576,0.0489558253460398,0.000197256523002
3461,12.271867833407795,-98.08812503088777,0.01401,4.7,2,CYTOSIM,0.1328461321988168,0.0051157858952228,0.0001791168289757
3176,-593.3174990928155,-29.151745026174925,0.008795,15.0,2,CYTOSIM,0.263743105403898,0.0012384589673342,0.0001014953859615
5182,218.62083549948943,-19.391643255880744,312.0,4.7,4,READDY,0.1111830988328007,0.0098540093408956,0.0027015324881557
234,607.0206331839413,18.847850364035246,0.000145,150.0,0,CYTOSIM,0.0420139623686127,0.0187115614633897,0.002121097987679
5246,171.41277421281464,-89.89040732280584,327.0,47.0,2,READDY,0.1169050583659045,0.011461729807276,0.0009604560626775
4751,449.45715429758906,20.09238385993033,196.0,47.0,1,READDY,0.0762950204860042,0.014455423551805,0.0029197385918557
299,781.9813397585817,-19.536830175521114,0.00019,47.0,0,CYTOSIM,0.0175683002034029,0.0121309178771272,1.8002456188301623e-05
7310,-588.0954470118353,103.1196998123488,874.0,4.7,4,READDY,0.2845957381499561,0.0134184856214739,0.0072998182519578
1122,371.7102170968956,-148.6333145920034,0.00076,47.0,3,CYTOSIM,0.0716544372897659,0.0036945286065577,0.0009109923847815
783,527.2314558641076,-77.4982727859843,0.000525,47.0,4,CYTOSIM,0.0493600162051516,0.0141505720766917,1.3674476992695962e-05
943,436.6535882989897,-146.8634931761474,0.000635,47.0,4,CYTOSIM,0.0598050823614436,0.0032094128647084,0.0005879210231938
7022,-511.2926238236918,96.49462933157105,799.0,4.7,1,READDY,0.2610988661864686,0.0243270773390228,0.0066217372358651
6163,-115.0932292247321,132.88177042000052,568.0,150.0,2,READDY,0.191097009331231,0.0093015922843092,0.0127897108101272
45,1038.6338689835766,91.36810361942122,1e-05,150.0,1,CYTOSIM,0.0015534753656418,0.1177940346435302,3.680641626782701e-05
1717,-40.2563849935816,-141.5703020335882,0.001555,47.0,3,CYTOSIM,0.1471126821765545,0.0115925085595809,0.0004499905171448
3913,-625.603899942372,-46.97767549947294,0.02834,4.7,4,CYTOSIM,0.2686703249627239,0.0014171394493093,0.0001355018244087
6406,-282.8193918827801,57.75781753173678,633.0,47.0,3,READDY,0.2096797471336455,0.0145787244096613,0.0065627366204037
